,Unnamed: 0,Unnamed: 0.1,lugares,LAT_google,LON_google,labels,Quotes,Position,cluster_label,Quotes_total,day
10,390.0,246.0,Piazza della Rotunda,41.8992619,12.4768866,LIB,"<b>408</b><br>.”
As they rounded the corner into Piazza della Rotunda, the Pantheon rose before them<br><b>390</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",390.0,1.0,"<b>390</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",4
11,391.0,383.0,Sant’Eustachio,41.8997351,12.4746038,LIB,"<b>391</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",391.0,1.0,"<b>391</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",4
12,430.0,934.0,the Chigi Chapel,41.9114511,12.4764951,LIB,"<b>460</b><br>They would have to traverse the length of the cathedral, passing three other chapels, each of them, like the Chigi Chapel, covered with translucent plastic shrouds<br><b>434</b><br>“Wrong? What do you mean?”
“The first altar of science is at the Chigi Chapel!”
“Where?” Now Olivetti sounded angry<br><b>485</b><br>The Chigi Chapel was packed with Swiss Guards<br><b>468</b><br>deeper and deeper beneath the floor of the Chigi Chapel<br><b>459</b><br> 
It seemed the Chigi Chapel was located in the third of four recessed alcoves to their right<br><b>626</b><br>my videographer got the footage of the cardinal being removed from the Chigi Chapel<br><b>430</b><br>“It’s called the Chigi Chapel<br><b>461</b><br>Finished entirely in chestnut marble, the Chigi Chapel was breathtaking<br><b>431</b><br>“Signore, whereis this Chigi Chapel?”
“About a mile north<br><b>455</b><br>“Where is this Chigi Chapel?”
Langdon gazed through the dusky ghostliness toward the back of the cathedral and studied the outer walls",430.0,1.0,<b>430</b><br>“It’s called the Chigi Chapel,4
13,443.0,957.0,the Piazza del Popolo,41.91070379999999,12.4763579,LIB,"<b>443</b><br>They skidded to a stop on the south side of the Piazza del Popolo just before eight<br><b>767</b><br>In front of him in the distance, Piazza del Popolo<br><b>496</b><br>“Well I’ll be damned!”70
G unther Glick and Chinita Macri sat parked in the BBC van in the shadows at the far end of Piazza del Popolo<br><b>540</b><br>Peter’s Squarewas designed by Bernini!”
As the caravan of Alpha Romeos tore out of Piazza del Popolo, everyone was in too much of a hurry to notice the BBC van pulling out behind them",443.0,1.0,<b>443</b><br>They skidded to a stop on the south side of the Piazza del Popolo just before eight,4
14,448.0,252.0,Porta del Popolo,41.9115413,12.4760243,LIB,<b>448</b><br>.” Langdon pointed to the imposing Porta del Popolo-the high stone archway at the far end of the piazza,448.0,1.0,<b>448</b><br>.” Langdon pointed to the imposing Porta del Popolo-the high stone archway at the far end of the piazza,4
17,543.0,251.0,Ponte Margherita,41.90984279999999,12.4728453,LIB,"<b>543</b><br> 73
G unther Glick floored the BBC van’s accelerator and swerved through traffic as he e 
tailed the four speeding Alpha Rom os across the Tiber River on Ponte Margherita",543.0,0.0,"<b>543</b><br> 73
G unther Glick floored the BBC van’s accelerator and swerved through traffic as he e 
tailed the four speeding Alpha Rom os across the Tiber River on Ponte Margherita",4
19,742.0,240.0,Piazza Navona,41.8991633,12.4730742,LIB,"<b>742</b><br> 
Dead center of Piazza Navona, outside the church of St",742.0,0.0,"<b>742</b><br> 
Dead center of Piazza Navona, outside the church of St",4
23,,,"<a href=""https://www.turismoroma.it/it/node/1516""target=""_blank""> Piazza Navona </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>120149",41.8991633,12.4730742,TOUR,"[]<b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>So beautiful, and so crowded sometimes. It is sometimes impossible to get a good picture in this plaza, but it is Rome, you need to enjoy the life that comes with it. Is a great place to have dinner and if you wait time enough you can take a very good night picture. Just be patience.<br><br><b>Author: </b>Creative Jay; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Incredible place. The massive church as you walk onto the plaza is amazing. Make sure you go inside and view it, words can not describe how stunning it is. Go day or night and enjoy this place. The only negative is the restaurants. Just avoid them if you can<br><br><b>Author: </b>Shelby Elkins; <br><b>Rating: </b>5<br><b>When: </b>2 weeks ago<br>Free to enter and walk around. Beautiful fountains, access to a nice church, and plenty of places to eat. A must visit site when you are in Rome! Highly recommend!<br><br><b>Author: </b>Bert Parham; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>A fantastic place to go and people watch, enjoy pretty good food and ice cream. We visited several times as our hotel was in close proximity. Each time of day brings something different.<br><br><b>Author: </b>Kai; <br><b>Rating: </b>5<br><b>When: </b>a week ago<br>It was really calming and relaxing. Honestly I would love to go there again. The restaurants and coffee shops where top quality and the place was magnificent.<br><br>",,,,4
27,,,"<a href=""https://www.turismoroma.it/it/luoghi/campo-de%E2%80%99-fiori-e-piazza-farnese""target=""_blank""> Campo de' Fiori </a><br><b>Rating: </b>4.4<br><b>Popularity: </b><br>40690",41.8955904,12.4721829,TOUR,"[]<b>Author: </b>Wunderklumpen; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>It is okay. But not worth to visit.<br><br><b>Author: </b>Marlene Münch Schuster; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>As most piazzas, it is beautiful. And I like Giordano Bruno, although I have been told he was lacking charm<br><br><b>Author: </b>SilverWolf Beats; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>A good place to spend time with friends and family.  There's bars, restaurants and many more.  Police is always visible in the area to insure people follows safety protocol. Just a five minutes walk from the main road..<br><br><b>Author: </b>Deniz Hassan; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Splendid square comprised of four roughly equal sides. It houses several pleasant establishments for drink and food. The water fountain has excellent pressure and nice, cool water.<br><br><b>Author: </b>Vladimir Balaz; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>The place is famous for final moments on Giordano Bruno. The place, however, also has its own atmosphere. It is lively, with many people, shops and cafes. And there are flower shops as well, of course.<br><br>",,,,4
32,,,"<a href=""http://www.museodiroma.it/""target=""_blank""> Museo di Roma - Palazzo Braschi </a><br><b>Rating: </b>4.5<br><b>Popularity: </b><br>2615",41.897551,12.4727241,MUSE,"[]<b>Author: </b>M in Paris; <br><b>Rating: </b>3<br><b>When: </b>2 months ago<br>The building is amazing and especially on the third floor there is a very interesting little exhibition of the evolution of the Roman architecture. The second floor you'll find a little bit of history of the clergy and romans aristocracy through the centuries but no ground breaking paintings.<br><br><b>Author: </b>Dominic Arbuthnott; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Great view from top floor<br><br><b>Author: </b>Vijay Sisodia; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Nice little museum. (Be warned that it isn't very big so don't expect to spend more than a few hours here.)
Information is multilingual
Staff are friendly
Has seating area in almost every room.
Has good interactive videos explaining the history of Rome.
For those with a Roma pass, you still have to go to the ticket office to get your tickets.<br><br><b>Author: </b>David naftalis; <br><b>Rating: </b>2<br><b>When: </b>9 months ago<br>Museum with variable exhibitions.
Not pricy.
The staff not welcoming and very not patience...<br><br><b>Author: </b>Tony Popa; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>The Museo di Roma is a museum in Rome, Italy, part of the network of Roman civic museums. The museum was founded in the Fascist era with the aim of documenting the local history and traditions of the ""old Rome"" that was rapidly disappearing, but following many donations and acquisitions of works of art is now principally an art museum. The collections initially included 120 water-colours by the nineteenth-century painter Ettore Roesler Franz of Roma sparita, ""vanished Rome"", later moved to the Museo di Roma in Trastevere.<br><br>",,,,4
