,Unnamed: 0,Unnamed: 0.1,lugares,LAT_google,LON_google,labels,Quotes,Position,cluster_label,day,Quotes_total
10,390.0,246.0,Piazza della Rotunda,41.8992619,12.4768866,LIB,"<b>390</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio<br><b>408</b><br>.”
As they rounded the corner into Piazza della Rotunda, the Pantheon rose before them",390.0,1.0,4,"<b>390</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio"
11,391.0,383.0,Sant’Eustachio,41.8997351,12.4746038,LIB,"<b>391</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",391.0,1.0,4,"<b>391</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio"
19,742.0,240.0,Piazza Navona,41.8991633,12.4730742,LIB,"<b>742</b><br> 
Dead center of Piazza Navona, outside the church of St",742.0,0.0,4,"<b>742</b><br> 
Dead center of Piazza Navona, outside the church of St"
28,,,"<a href=""http://www.060608.it/it/cultura-e-svago/beni-culturali/beni-architettonici-e-storici/fontana-dei-fiumi.html""target=""_blank""> Fiumi Fountain </a><br><b>Rating: </b>4.8<br><b>Popularity: </b><br>4572",41.8989673,12.4730872,TOUR,"[]<b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>All comments agree in one thing. This is a beautiful square, the 4 rivers fountain is a great sight. The details and the history behind it are just marvelous. You can have a coffee. Lunch or dinner at the surrounding restaurants, have a look at the daily life at the Piazza Navona is just delightful. Recommended for all parties<br><br><b>Author: </b>Shelby Elkins; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Always a pretty sight to see! Of course, Piazza Navona is free to visit. There are plenty of food options in the square and so much to see. The church is free to visit, and the three fountains are very nice. You can even talk to a psychic and learn your possible destiny!🤫<br><br><b>Author: </b>Mahammad Alizada; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Amazing<br><br><b>Author: </b>Hartmut P; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Fountain made by the famous baroque artist Bernini , depicting the four great rivers of the World<br><br><b>Author: </b>Regan; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>The coolest back story for a fountain ever! The figures on the fountain are all covering their faces to save their eyes from the sight of a rival Architects Building adjacent. Brilliant! Incredible sculpture also and set an an impressive square.<br><br>",,,4,
29,,,"<a href=""http://saintlouis-rome.net/""target=""_blank""> Church of St. Louis of the French </a><br><b>Rating: </b>4.8<br><b>Popularity: </b><br>4408",41.899581,12.4745405,TOUR,"[]<b>Author: </b>Father Kenny Ang; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>This is one of my favorite churches in Rome, since I especially love Caravaggio and his works. Every time I come here, I almost always head directly to the Contarelli chapel just to delight in his three paintings of St. Matthew. My favorite one is the Calling of St. Matthew on the left-side wall of the chapel (which is the darker side of the wall, unfortunately). When I went there yesterday, some ladies already put some euros into the machine so the entire chapel was brightly illuminated. I was a lucky pilgrim and photographer!<br><br><b>Author: </b>Veranika Tsybulskaya; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Spectacular! Definitely worth to visit not only for a Caravaggio works, but for an ambience itself. Rich and spaced. Were lucky to end up there during the organ mass - truly recommend!<br><br><b>Author: </b>Iman Traveler; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>3 Caravaggio paintings!!! What could you expect more?

Short explain:
is a Roman Catholic church in Rome, not far from Piazza Navona. The church is dedicated to the Virgin Mary, to St. Denis the Areopagite and St. Louis IX, king of France. The church was designed by Giacomo della Porta and built by Domenico Fontana between 1518 and 1589, and completed through the personal intervention of Catherine de' Medici, who donated to it some property in the area. It is the national church in Rome of France.<br><br><b>Author: </b>George; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>The ceiling is covered in beautiful art. If you are in the area you must pop in for a look. It is free and marvelous.<br><br><b>Author: </b>Ron Nederpelt; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>I Caravaggi. I CARAVAGGI! A day without seeing a painting by Caravaggio is a day not lived.<br><br>",,,4,
31,,,"<a href=""http://www.villafarnesina.it/""target=""_blank""> Villa Farnesina </a><br><b>Rating: </b>4.6<br><b>Popularity: </b><br>1488",41.89359939999999,12.4672868,TOUR,"[]<b>Author: </b>M in Paris; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Amazing ceiling painting from Raffaelo. It is mind blowing and definitely one of the more hidden unknown museums<br><br><b>Author: </b>JUZER KAPADIA; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>The wealthy Sienese banker Agostino Chigi commissioned this villa in 1508 for his lavish banquets and for sojourns with the courtesan Imperia, who allegedly inspired one of the Three Graces painted by Raphael in the Loggia of Cupid and Psyche.
Designed by the Sienese architect Baldassare Peruzzi, the harmonious Farnesina, with a central block and projecting wings, is one of the first true Renaissance villas. Peruzzi decorated some of the interiors himself, such as the Sala della Prospettiva upstairs, in which illusionistic frescoes create the impression of looking out over Rome through a marble colonnade.
The painted vault of the Sala di Galatea shows the position of the stars at the time of Chigi’s birth. After his death, the banking business collapsed, and in 1577 the villa was sold to the Farnese family.<br><br><b>Author: </b>Andrew Potts; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>Beautiful building, amazing Raphael frescoes.<br><br><b>Author: </b>A. Lexander; <br><b>Rating: </b>2<br><b>When: </b>10 months ago<br>""Don't download the guide app it takes too long almost 5 minutes per room"" was said to us when we bought tickets and wanted to download the free guide app they ADVERTISED AS PART OF TICKET... What a joke. And that for 10€. Very rude and unfriendly people at ticket counter.<br><br><b>Author: </b># Volkmer; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>The most amazing library I have ever seen in my life and probably the most amazing one I will ever see in my hole life. 😯 Just extraordinary fantastic. Extremely happy to be taken there.<br><br>",,,4,
34,,,"<a href=""http://www.sovraintendenzaroma.it/i_luoghi/roma_medioevale_e_moderna/fontane/fontana_di_piazza_della_rotonda""target=""_blank""> Obelisco del Pantheon </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>841",41.8993212,12.4767522,TOUR,"[]<b>Author: </b>Scott Miller; <br><b>Rating: </b>5<br><b>When: </b>a week ago<br>I felt like I was in a movie 🎦. Magical place. To see more of my photo's please see my instagram page @scottstravelphotos<br><br><b>Author: </b>Michael Pilgrom; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Definitely visit. It's free and very interesting<br><br><b>Author: </b>Michael Ibukun; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Pantheon, temporarily closed due to Covid19 restrictions. It looks cool on the outside, and I think that's enough to see.<br><br><b>Author: </b>Muhammad Hamza; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>A Great place to enjoy your time and have some quality food as well.<br><br><b>Author: </b>Lorenzo Falorni; <br><b>Rating: </b>5<br><b>When: </b>11 months ago<br>Next to the Brazilian Embassy and if you take a right you end up in the Senate of the Republic.There's plenty of space, and the fountain may be looked upon from all angles too.<br><br>",,,4,
35,,,"<a href=""http://www.senato.it/""target=""_blank""> Madama Palace </a><br><b>Rating: </b>4.2<br><b>Popularity: </b><br>224",41.8992385,12.4741376,TOUR,"[]<b>Author: </b>D P Rogers; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Nice to get a photo early in the morning before it gets crazy busy here.      A Beautiful 15th century palace with ""new"" facade from the 17th century. Lots of history and important peeps resided here from time to time... read the other reviews for info about all that.<br><br><b>Author: </b>Tony Popa; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Palazzo Madama in Rome is the seat of the Senate of the Italian Republic.

It was built atop the ruins of the ancient baths of Nero, next to Piazza Navona. The terrain had been acquired in the Middle Ages by the monks of the Abbey of Farfa, who later ceded it to France.

The new building was begun at the end of the 15th century and completed in 1505, for the Medici family. It housed two Medici cardinals and cousins, Giovanni and Giulio, who both later became popes as Leo X and Clement VII, respectively. Catherine de' Medici, Clement VII's niece, also lived here before she was married to Henry, son of King Francis I of France in 1533. Cardinal Francesco Maria Del Monte, patron of the artist Caravaggio, lived there until his death in 1627.

The palace takes its name from Madama Margherita of Austria, illegitimate daughter of Emperor Charles V, who married another illegitimate son, Alessandro de' Medici and, after his death, Ottavio Farnese. Thus part of the art collection of the Florentine Medici family was inherited by the Farnese family.

The current façade was built in the mid-1650s by both Cigoli and Paolo Maruccelli. The latter added the ornate cornice and whimsical decorative urns on the roof.

After the extinction of the Medici in 1743, the palace was handed over to the House of Lorraine and, later, to Pope Benedict XIV, who made it the seat of the Papal Government. In 1849, Pius IX moved here the Ministries of Finances and of the Public Debt, as well as the Papal Post Offices. In 1871, after the conquest of Rome by the newly formed Kingdom of Italy, the palazzo became the seat of the Senato del Regno.<br><br><b>Author: </b>union310; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>It's just like any other building in Rome, the only reason I knew it had some importance was fifty suits outside with 9mm Beretta's and the camera girl saying they were voting on something important, hmmmm the price gelato has to go up?<br><br><b>Author: </b>Karl 1974; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Palazzo Madama in Rome is the seat of the Senate of the Italian Republic. It was built atop the ruins of the ancient baths of Nero, next to Piazza Navona. The terrain had been acquired in the Middle Ages by the monks of the Abbey of Farfa, who later ceded it to France.

The new building was begun at the end of the 15th century and completed in 1505, for the Medici family. It housed two Medici cardinals and cousins, Giovanni and Giulio, who both later became popes as Leo X and Clement VII, respectively. Catherine de' Medici, Clement VII's niece, also lived here before she was married to Henry, son of King Francis I of France in 1533. Cardinal Francesco Maria Del Monte, patron of the artist Caravaggio, lived there until his death in 1627.

The palace takes its name from Madama Margherita of Austria, illegitimate daughter of Emperor Charles V, who married another illegitimate son, Alessandro de' Medici and, after his death, Ottavio Farnese. Thus part of the art collection of the Florentine Medici family was inherited by the Farnese family.

After the extinction of the Medici in 1743, the palace was handed over to the House of Lorraine and, later, to Pope Benedict XIV, who made it the seat of the Papal Government. In 1849, Pius IX moved here the Ministries of Finances and of the Public Debt, as well as the Papal Post Offices. In 1871, after the conquest of Rome by the newly formed Kingdom of Italy, the palazzo became the seat of the Senato del Regno.<br><br><b>Author: </b>Palash Chandra Moni Dash; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>Nice<br><br>",,,4,
37,,,"<a href=""http://www.sovraintendenzaroma.it/""target=""_blank""> Fontana di Piazza Farnese </a><br><b>Rating: </b>4.5<br><b>Popularity: </b><br>129",41.89500969999999,12.4714431,TOUR,"[]<b>Author: </b>Simone Coletta; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>The Square is really nice, good for the nightlife, lots of space and security as there is police and army nearby, recommended<br><br><b>Author: </b>Rue Jer; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>All points in Rome are beautiful<br><br><b>Author: </b>Steven Rahman; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>Put this fountain on your walking tour to see the Farnese Palace.  It's the French Embassy in Italy, designed by Michelangelo.  Try seeing it in the early evening to admire the views of the illuminated rooms.<br><br><b>Author: </b>Jivko Velev; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>There are two identical fountains, looking like bathtub in front of the French Palace/Palazzo Farnese/, at Piazza Farnese.<br><br><b>Author: </b>Rasp Berry; <br><b>Rating: </b>4<br><b>When: </b>3 years ago<br>The place has potential. Palace block is famous and influential renessaince building,  but courtyard look's like a parking lot, cars are next to fountains, it could be polished more.<br><br>",,,4,
39,,,"<a href=""http://www.beige-roma.com/""target=""_blank""> Beige Roma </a><br><b>Rating: </b>3.8<br><b>Popularity: </b><br>399",41.8908691,12.4712072,CLUB,"[]<b>Author: </b>Thomas Bollman; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>This place is much much bigger than it looks when you first walk in. Lots of places to sit and lounge around. Bartenders were very nice and their English was fine. Great for groups to sit around a table to have a drink or seven. Will go back on my next trip to Rome and when I’m not so hungover already.<br><br><b>Author: </b>Pondz Meme; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Great staff.
Great food.
Great wine.
Great price.
The place is great. I threw a gathering for 17 people for my 19th bday and it was so nice. Totally recommend!!<br><br><b>Author: </b>Michal Glinka; <br><b>Rating: </b>3<br><b>When: </b>2 years ago<br>We arrived around 7pm for some good cocktails, but there was no other guests at the time. The bar was completely empty. The service was very good. The style of the bar is probably dated to the 90/00's looking on the interieur.<br><br><b>Author: </b>Wesam Rukun; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>An ok food. But the location is great.<br><br><b>Author: </b>Jorge R Tomey; <br><b>Rating: </b>4<br><b>When: </b>2 years ago<br>Good decor, gin and tonics €8 per. Closes at 0200h. Music wasn’t very good.<br><br>",,,4,
