,Unnamed: 0,Unnamed: 0.1,lugares,LAT_google,LON_google,labels,Quotes,Position,cluster_label,Quotes_total,day
2,34.0,767.0,Tuileries Gardens,48.8634916,2.3274943,LIB,"<b>37</b><br>Most tourists mistranslated Jardins des Tuileries as relating to the thousands of tulips that bloomed here, butTuilerieswas actually a literal reference to something far less romantic<br><b>34</b><br>The agent gunned the sedan across the junction and sped onto a wooded section of Rue Castiglione, which served as the northern entrance to the famed Tuileries Gardens – Paris’s own version of Central Park<br><b>295</b><br>  CHAPTER 32 The security alarm on the west end of the Denon Wing sent the pigeons in the nearby Tuileries Gardens scattering as Langdon and Sophie dashed out of the bulkhead into the Paris night<br><b>38</b><br>Langdon could now see the end of the Tuileries Gardens, marked by a giant stone archway",34.0,0.0,"<b>34</b><br>The agent gunned the sedan across the junction and sped onto a wooded section of Rue Castiglione, which served as the northern entrance to the famed Tuileries Gardens – Paris’s own version of Central Park",3
3,39.0,881.0,the Arc du Carrousel,48.86171299999999,2.3328946,LIB,"<b>39</b><br> Despite the orgiastic rituals once held at the Arc du Carrousel, art aficionados revered this place for another reason entirely",39.0,0.0,"<b>39</b><br> Despite the orgiastic rituals once held at the Arc du Carrousel, art aficionados revered this place for another reason entirely",3
5,43.0,375.0,Musée du Louvre,48.8606111,2.337644,LIB,"<b>174</b><br>Call me at the Louvre<br><b>68</b><br>Thirty yards ahead loomed the gateway to the Louvre’s most popular section –la Grande Galerie– a seemingly endless corridor that housed the Louvre’s most valuable Italian masterpieces<br><b>280</b><br>We’ve got a Louvre security officer on the gate<br><b>313</b><br>Disappointed, she knew he had not been expecting her and was probably working at the Louvre<br><b>271</b><br> Since taking up residence in the Louvre, theMona Lisa– orLa Jacondeas they call her in France – had been stolen twice, most recently in 1911, when she disappeared from the Louvre’s»satte impénétrable »– Le Salon Carre<br><b>175</b><br>Call me at the Louvre<br><b>595</b><br>She realized she was no closer than she had been at the Louvre to understanding what truth her grandfather had wanted to reveal to her<br><b>1096</b><br> I must go down there! Stepping out of the circle, he hurried across the courtyard back toward the towering pyramid entrance of the Louvre<br><b>47</b><br>Langdon had once walked the Louvre’s entire perimeter, an astonishing three-mile journey<br><b>223</b><br> For an instant, standing in the exit stairwell, Sophie forgot all about trying to leave the Louvre<br><b>270</b><br>  CHAPTER 26 Despite her monumental reputation, theMona Lisawas a mere thirty-one inches by twenty-one inches – smaller even than the posters of her sold in the Louvre gift shop<br><b>456</b><br>Furthermore, it perfectly explained why the scrambled numbers on the Louvre floor could be rearranged to form the famous progression<br><b>273</b><br> Since taking up residence in the Louvre, theMona Lisa– orLa Jacondeas they call her in France – had been stolen twice, most recently in 1911, when she disappeared from the Louvre’s»satte impénétrable »– Le Salon Carre<br><b>200</b><br>«You just escaped from the Louvre<br><b>452</b><br>«He left you only this key? Nothing else? No slip of paper?»Sophie knew she had been in a hurry inside the Louvre, but she was certain she had seen nothing else behindMadonna of the Rocks<br><b>658</b><br>«Did you send one to the curator of the Paris Louvre?»«What do you think? Your manuscript referenced his Louvre collection several times, his books are in your bibliography, and the guy has some serious clout for foreign sales<br><b>303</b><br> As they straightened out, Langdon turned in his seat, craning his neck to look out the rear window toward the Louvre<br><b>191</b><br>Although Paris fire codes required windows above fifteen meters in public buildings be breakable in case of fire, exiting a Louvre second-story window without the help of a hook and ladder would be suicide<br><b>70</b><br> «This area is still off limits to Louvre security,» Fache said<br><b>184</b><br> Here at the westernmost tip of the Denon Wing, the north-south thoroughfare of Place du Carrousel ran almost flush with the building with only a narrow sidewalk separating it from the Louvre’s outer wall<br><b>56</b><br>Built fifty-seven feet beneath ground level, the Louvre’s newly constructed 70, 000-square-foot lobby spread out like an endless grotto<br><b>196</b><br>The only vehicle on Pont du Carrousel was an enormous twin-bed Trailor delivery truck moving southward away from the Louvre<br><b>450</b><br>Inside the Louvre<br><b>201</b><br> Now, with the fire alarm silenced, Langdon could hear the sounds of DCPJ sirens tearing away from the Louvre<br><b>45</b><br>Shaped like an enormous horseshoe, the Louvre was the longest building in Europe, stretching farther than three Eiffel Towers laid end to end<br><b>222</b><br>There in the bowels of the Louvre… with images of PHI and Da Vinci swirling through his mind, Robert Langdon suddenly and unexpectedly deciphered Saunière’s code<br><b>65</b><br> Usually impeccably illuminated, the Louvre galleries were startlingly dark tonight<br><b>1095</b><br> Tremulous, Langdon walked to the edge and peered down into the Louvre’s sprawling underground complex, aglow with amber light<br><b>43</b><br> Musée du Louvre<br><b>547</b><br>It was the command post at the Louvre<br><b>89</b><br> Although the Grand Gallery housed the Louvre’s most famous Italian art, many visitors felt the wing’s most stunning offering was actually its famous parquet floor<br><b>214</b><br>I’m certain his message at the Louvre was his final effort to tell me something important, something he thought you could help me understand<br><b>57</b><br>Constructed in warm ocher marble to be compatible with the honey-colored stone of the Louvre facade above, the subterranean hall was usually vibrant with sunlight and tourists<br><b>54</b><br>Fache’s presence was anything but welcoming, and the Louvre itself had an almost sepulchral aura at this hour<br><b>48</b><br>The Louvre’s main entrance was visible now, rising boldly in the distance, encircled by seven triangular pools from which spouted illuminated fountains<br><b>118</b><br>.»Not far away, inside Saunière’s office, Lieutenant Collet had returned to the Louvre and was huddled over an audio console set up on the curator’s enormous desk<br><b>67</b><br>Thirty yards ahead loomed the gateway to the Louvre’s most popular section –la Grande Galerie– a seemingly endless corridor that housed the Louvre’s most valuable Italian masterpieces<br><b>442</b><br>A video camera overhead was aimed directly at them, and Langdon had the feeling that this camera, unlike those at the Louvre, was authentic<br><b>328</b><br>.»Langdon wondered again if he might have been better off taking his chances letting Fache arrest him at the Louvre<br><b>1094</b><br>There in the center, plunging into the earth like a crystal chasm, gaped the giant inverted pyramid of glass that he had seen a few nights ago when he entered the Louvre’s subterranean entresol<br><b>1004</b><br>In Saunière’s case, the curator had received a dinner invitation to Château Villette to discuss the possibility of Teabing’s funding a new Da Vinci Wing at the Louvre<br><b>189</b><br> « Alarme! »one of the agents yelled, eyeing his feed from the Louvre security center<br><b>455</b><br> 13-3-2-21-1-1-8-5 Grand-père wrote his account number on the Louvre floor! When Sophie had first seen the scrambled Fibonacci sequence on the parquet, she had assumed its sole purpose was to encourage DCPJ to call in their cryptographers and get Sophieinvolved<br><b>227</b><br> «Up ahead is the Salle des Etats,» her grandfather said as they approached the Louvre’s most famous room<br><b>290</b><br> The Louvre security agent advanced through the entrance to the Salle des Etats, his pistol outstretched, taking deadly aim at Langdon’s chest<br><b>66</b><br>With acres of galleries to watch over, the Louvre would require several hundred technicians simply to monitor the feeds<br><b>61</b><br>Not only did Saunière have a personal passion for relics relating to fertility, goddess cults, Wicca, and the sacred feminine, but during his twenty-year tenure as curator, Saunière had helped the Louvre amass the largest collection of goddess art on earth – labrys axes from the priestesses’ oldest Greek shrine in Delphi, gold caducei wands, hundreds of Tjetankhs resembling small standing angels, sistrum rattles used in ancient Egypt to dispel evil spirits, and an astonishing array of statues depicting Horus being nursed by the goddess Isis<br><b>300</b><br>The SmartCar engine whined in protest as Sophie urged it faster away from the Louvre<br><b>657</b><br>«Did you send one to the curator of the Paris Louvre?»«What do you think? Your manuscript referenced his Louvre collection several times, his books are in your bibliography, and the guy has some serious clout for foreign sales<br><b>49</b><br> The new entrance to the Paris Louvre had become almost as famous as the museum itself",43.0,0.0,<b>43</b><br> Musée du Louvre,3
9,181.0,370.0,Montmartre,48.8861929,2.3430895,LIB,"<b>366</b><br>Out the window to his right, he could see Montmartre and the beautiful dome of Sacré-Coeur<br><b>181</b><br>And to the right, high atop the sloping rise of Montmartre, the graceful arabesque dome of Sacré-Coeur, its polished stone glowing white like a resplendent sanctuary",181.0,0.0,"<b>181</b><br>And to the right, high atop the sloping rise of Montmartre, the graceful arabesque dome of Sacré-Coeur, its polished stone glowing white like a resplendent sanctuary",3
10,182.0,636.0,Sacré-Coeur,48.88670459999999,2.3431043,LIB,"<b>182</b><br>And to the right, high atop the sloping rise of Montmartre, the graceful arabesque dome of Sacré-Coeur, its polished stone glowing white like a resplendent sanctuary<br><b>367</b><br>Out the window to his right, he could see Montmartre and the beautiful dome of Sacré-Coeur",182.0,0.0,"<b>182</b><br>And to the right, high atop the sloping rise of Montmartre, the graceful arabesque dome of Sacré-Coeur, its polished stone glowing white like a resplendent sanctuary",3
11,197.0,508.0,Pont des Saints-Peres,48.8586063,2.3334474,LIB,"<b>197</b><br>«He’s turning right on Pont des Saints-Peres!»Sure enough, the Trailor truck that had crossed the bridge was slowing down and making a right turn onto Pont des Saints-Peres",197.0,0.0,"<b>197</b><br>«He’s turning right on Pont des Saints-Peres!»Sure enough, the Trailor truck that had crossed the bridge was slowing down and making a right turn onto Pont des Saints-Peres",3
14,297.0,47.0,Carrousel du Louvre,48.86275360000001,2.3348324000000003,LIB,"<b>297</b><br>He gripped the dash as the car shot out across a sidewalk and bounced back down over into the small rotary at Carrousel du Louvre<br><b>1091</b><br>Turning, he felt his feet again tracing the invisible path of the ancient Rose Line, carrying him across the courtyard to the Carrousel du Louvre – the enormous circle of grass surrounded by a perimeter of neatly trimmed hedges – once the site of Paris’s primeval nature-worshipping festivals… joyous rites to celebrate fertility and the Goddess<br><b>298</b><br> «No!» Langdon shouted, knowing the hedges around Carrousel du Louvre were there to hide the perilous chasm in the center –La Pyramide Inversée– the upside-down pyramid skylight he had seen earlier from inside the museum",297.0,0.0,<b>297</b><br>He gripped the dash as the car shot out across a sidewalk and bounced back down over into the small rotary at Carrousel du Louvre,3
16,362.0,171.0,Gare Saint-Lazare,48.8763009,2.3254025,LIB,"<b>362</b><br>  CHAPTER 35 The inside of Gare Saint-Lazare looked like every other train station in Europe, a gaping indoor- outdoor cavern dotted with the usual suspects – homeless men holding cardboard signs, collections of bleary-eyed college kids sleeping on backpacks and zoning out to their portable MP3 players, and clusters of blue-clad baggage porters smoking cigarettes",362.0,0.0,"<b>362</b><br>  CHAPTER 35 The inside of Gare Saint-Lazare looked like every other train station in Europe, a gaping indoor- outdoor cavern dotted with the usual suspects – homeless men holding cardboard signs, collections of bleary-eyed college kids sleeping on backpacks and zoning out to their portable MP3 players, and clusters of blue-clad baggage porters smoking cigarettes",3
20,461.0,688.0,St. Germain des Prés,48.85379810000001,2.3333285,LIB,<b>461</b><br> « This piece of shit? Bought it for twenty euro from a Taiwanese street vendor in StGermain des Prés,461.0,0.0,<b>461</b><br> « This piece of shit? Bought it for twenty euro from a Taiwanese street vendor in StGermain des Prés,3
23,1077.0,629.0,Rue des Petits Champs,48.866831,2.3365718,LIB,"<b>1077</b><br> Walking east on Rue des Petits Champs, Langdon felt a growing excitement",1077.0,0.0,"<b>1077</b><br> Walking east on Rue des Petits Champs, Langdon felt a growing excitement",3
