,LAT,LON,order,Distance [m],lugares,quotes,Position_book,Type
0,41.904893,12.461906,0,0,"<a href=""https://www.booking.com/hotel/it/hotelatlantestarroma.it.html?aid=356980&label=gog235jc-1DCAsocUIPc3ByaW5naG91c2Vyb21hSBRYA2hxiAEBmAEUuAEXyAEM2AED6AEB-AECiAIBqAIDuALv04WFBsACAdICJDM2ZDE0NTY1LTQwNmQtNDlhYy04OTE5LTZhZWMyZDJjODAxMdgCBOACAQ&sid=0bcc5321a78bdda0537d7904da25a4ca&all_sr_blocks=8084308_195921877_0_2_0&checkin=2021-06-20&checkout=2021-06-25&dest_id=-126693&dest_type=city&group_adults=2&group_children=0&hapos=1&highlighted_blocks=8084308_195921877_0_2_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=8084308_195921877_0_2_0__81239&srepoch=1621191667&srpvid=895785b95b220028&ucfs=1&from=searchresults;highlight_room=#hotelTmpl""target=""_blank""> Atlante Star Hotel </a><br><b>Rating: </b>4.2<br><b>Popularity: </b>718","[]<b>Author: </b>Ruth Winig; <br><b>Rating: </b>4<br><b>When: </b>3 weeks ago<br>What we loved:
This hotel has a magical leg up on all others - the view! Yes, you will pay more for it but WOW. It is special to come home after touring Rome and sit atop a roof gazing at St Peters Basilica and looking over the city. We did this every night and every morning ❤️
The staff! Amazing, nice, well spoken and support needs and requests in a timely manner (speak many languages!)
Cleanliness!(with one exception see below)
Breakfast - full breakfast that included Italian favorites (cornetti yum!) and traditional American (bacon and eggs yum!)
Drinks! Delicious
Coffee - hot and ready!

What wasn’t so great:
We chose this hotel during the pandemic for its convenient location to the Vatican and its restaurant and bar. We were disappointed that both evening occasions in the roof top bar our waiter (same both evenings) was not accommodating and somewhat rude. On our last night we asked to sit on top and they said it was closed, and seated us on the lower level, then a half hour later we saw service occurring upstairs - why pay for a supreme view of as a guest you can’t access it during “open” hours? We settled for the Lower level, still nice views and then at 10:55 we asked for one more drink - people had bottles of wine on ice still so we figured good to go. We were told by the waiter “ no the bar is closed” he then walked upstairs to the roof top area weren’t allowed to drink at. We continued to wait for our bill only to see the bartender make another full tray of drinks and coffee. What??!?! We were stung a bit but shrugged it off. Just felt wrong.<br><br><b>Author: </b>Lessley Ann; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>We took advantage of fabulous postcorona offer. And for the price we got more than expected. A modern room and breakfast in an outstanding panoramatic rooftop restaurant with huge glass windows. Internet worked well. Nothing to complain about.<br><br><b>Author: </b>Chacha Durazo; <br><b>Rating: </b>2<br><b>When: </b>10 months ago<br>Our AC doesn't work. The room is incredibly dated and questionably clean. Location is great but I will definitely look elsewhere in the future. They left our bags in the main lobby for several hours unattended even though we were promised they would put them in our room (we checked in early but as the room wasn't ready, we left our bags and returned in the evening several hours later). Carpet everywhere which is gross. Definitely not the 4 star they market themselves as.<br><br><b>Author: </b>Marek Grabowski; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>SCAM, BEWARE - THIEFS OPERATE IN THE HOTEL

We were attacked by a thief inside the hotel in the morning while going for breakfast. He walked in freely to 3rd floor, and jumped on us in a narrow corridor, hitting me in the face and pushing down the stairs. Thankfully other guests came with help and he run away.
The hotel didn’t care. The reception was empty once I went down (nobody checks who enters the hotel). Finally the receptionist appeared and said he didn’t see anything (well, not surprisingly) and that’s a normal thing. They didn’t even bother to check if the thief left the hotel or to notify the police. I left my number for a manager who didn’t bother to call me. I never felt such disregard for guests even in 1-star hotels. Unless this hotel
cooperate with thiefs which would explain their approach.
CHOOSE THIS HOTEL FOR YOUR OWN RISK.<br><br><b>Author: </b>philip carroll; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>Staff where fantastic rooms very clean would go back any time 🍀<br><br>",,HOTEL
1,41.9038701,12.4663003,14,381,"<a href=""http://www.sovraintendenzaroma.it/i_luoghi/ville_e_parchi_storici/passeggiate_parchi_e_giardini/parco_della_mole_adriana""target=""_blank""> Adrian Park </a><br><b>Rating: </b>4.5<br><b>Popularity: </b><br>19321","[]<b>Author: </b>Thibaut De Vriendt; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>If you are under 25 years old it is €2. Good scenic view on top of the Castle.<br><br><b>Author: </b>Shelby Elkins; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>The park is free to access and has some very nice views! There are plenty of benches to sit on and relax. People also ride their bikes, play with their dogs, and eat snacks from nearby food trucks. Highly recommend!<br><br><b>Author: </b>Joeni Arianto Kurniawan; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>A pleasant park, very comfortable for exercise, at the center of Rome.<br><br><b>Author: </b>Mateusz Ciarkowski; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Really nice park to have a night walk with your secon half, take wine with you and enjoy. On one side of the park you have massive castle Castel Sant'Angelo, on the other side you have Tyber River. Just next to the river you can find some stalls with souvenirs.<br><br><b>Author: </b>Conor Kehoe; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Very nice panoramic views of the city. The park is beautiful with a lovely atmosphere inside<br><br>",,PRK
2,41.90306320000001,12.466276,6,89,Castle St. Angelo,"<b>892</b><br> 
He had come for her at Castle StAngelo<br><b>781</b><br>Il Passetto -The Little Passage-was a slender, three-quarter-mile tunnel built between Castle StAngelo and the Vatican<br><b>961</b><br>Europe’s top scientists mocking religion as they secretly assembled in the Vatican’s own Castle StAngelo",781.0,LIB
3,41.90306319999999,12.466275999999999,8,0,"<a href=""http://castelsantangelo.beniculturali.it/""target=""_blank""> Castel Sant'Angelo </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>54181","[]<b>Author: </b>Ghazzal Mehdi; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Surely a five star place. Perhaps the most iconic in Rome? To be honest, Rome has so many iconic places that I lost the count...
Anyway, near to. Vetican, great bridges.. Simply outstanding...<br><br><b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>Greater sight from the outside, I hope the pictures make sense of the very nice place this is. The architecture is different from other landmarks as it was intended for a different purpose in the religious history. Prepare to walk a lot. I would recommend the walking tour if possible.<br><br><b>Author: </b>Marcel van Poeijer; <br><b>Rating: </b>4<br><b>When: </b>4 months ago<br>This huge Castle is definitely worth a visit. Even though I did not go in (entrance fee = 15EU), I still loved the outside area and the little park next to it. When you go inside, it is recommended to go before sunrise, as the sunrise view on top of the terrace should be lovely.<br><br><b>Author: </b>Ken Saberi; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Great place to visit with spectacular views all around Rome. Interesting artefacts and some Papal history to see. Some of the rooms are stunning. There are a lot of stairs so people with mobility issues may struggle although there is a lift to the second level which can be used on request. This does mean that you will lose out on the top terrace which provides the best views. All the staff were extremely helpful and kind.<br><br><b>Author: </b>Rich; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>A fine visit. The best thing about this castle is the view you get once you're on the top floor.<br><br>",,TOUR
4,41.90306319999999,12.466275999999999,13,0,"<a href=""http://castelsantangelo.beniculturali.it/""target=""_blank""> Castel Sant'Angelo </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>54181","[]<b>Author: </b>Ghazzal Mehdi; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Surely a five star place. Perhaps the most iconic in Rome? To be honest, Rome has so many iconic places that I lost the count...
Anyway, near to. Vetican, great bridges.. Simply outstanding...<br><br><b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>Greater sight from the outside, I hope the pictures make sense of the very nice place this is. The architecture is different from other landmarks as it was intended for a different purpose in the religious history. Prepare to walk a lot. I would recommend the walking tour if possible.<br><br><b>Author: </b>Marcel van Poeijer; <br><b>Rating: </b>4<br><b>When: </b>4 months ago<br>This huge Castle is definitely worth a visit. Even though I did not go in (entrance fee = 15EU), I still loved the outside area and the little park next to it. When you go inside, it is recommended to go before sunrise, as the sunrise view on top of the terrace should be lovely.<br><br><b>Author: </b>Ken Saberi; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Great place to visit with spectacular views all around Rome. Interesting artefacts and some Papal history to see. Some of the rooms are stunning. There are a lot of stairs so people with mobility issues may struggle although there is a lift to the second level which can be used on request. This does mean that you will lose out on the top terrace which provides the best views. All the staff were extremely helpful and kind.<br><br><b>Author: </b>Rich; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>A fine visit. The best thing about this castle is the view you get once you're on the top floor.<br><br>",,MUSE
5,41.901788,12.4664617,5,142,the famous Bridge of Angels,"<b>771</b><br>And as if that were not enough, leading solely and directly to the castle’s main entrance stood the famous Bridge of Angels ",771.0,LIB
6,41.901788,12.4664617,10,0,,"[]<b>Author: </b>Aayush Khandelwal; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>It's worth to visit. Look at the alignment with St Peters basilica. Sit near by on bridge and feel the beauty of place and architecture.<br><br><b>Author: </b>Vasilis Karaman; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>Amazing bridge! The most beautiful I have ever seen. All these statues all over the road are in the highest level! At the night this beauty increases!!<br><br><b>Author: </b>Father Kenny Ang; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Seeing the statues of Saints Peter and Paul at the eastern end of this bridge reminds me that I’m standing in a city that witnessed the life of the early Christians. When I came here about two years ago, there were people dressed as Roman soldiers with whom tourists eagerly took pictures (I did too!). Unfortunately, I see that many visitors missed the ten statues of angels holding the symbols of Christ’s Passion devised by none other than Bernini (he wasn’t the only sculptor though; other sculptors collaborated in the project).<br><br><b>Author: </b>Dom Swatton; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Couldn't recommend this bridge more for crossing the water.
It has everything you need, clearly marked walkways, cobble stones and even statues.
Great views of the homeless camping along side the water.
Simply stunning<br><br><b>Author: </b>מאור לוי; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>Their shark was, in this moment, a pioneering sheep. Credible grapefruits show us how goldfishes can be snails. An eager chicken is a grape of the mind! A powerful melon without bees is truly a chicken of boundless melons. Recent controversy aside, the chimpanzee of a peach becomes a painstaking lime; Few can name an amusing fish that isn't a confident camel. After a long day at school and work, they were lost without the pro-active giraffe that composed their peach. After a long day at school and work, a sympathetic squirrel without sheeps is truly a giraffe of dynamic sharks; Few can name a skillful lime that isn't a decisive cat. The kumquat is a cow!<br><br>",,TOUR
7,41.9050753,12.4713114,11,542,"<a href=""https://www.thebulldog.com/the-bulldog-rome/""target=""_blank""> The Bulldog Rome </a><br><b>Rating: </b>4.4<br><b>Popularity: </b><br>452","[]<b>Author: </b>Ken Saberi; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Not the cheapest but a nice atmosphere and generous portions. The waiting staff were very helpful.<br><br><b>Author: </b>vektor57; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Hank did it again! A beautiful restaurant and Bulldog experience in one of the most historical plazas in Rome! Great drinks as well!<br><br><b>Author: </b>J T; <br><b>Rating: </b>4<br><b>When: </b>2 years ago<br>Interesting place. Seemed to be a chain, which isn't as common in Italy as it is here. We didn't eat anything, just had drinks. Drinks were fine, but it's more of a bar for beer and sports. It satisfied though since we were stopping every so often to grab a drink and snack before we moved on to the next place.<br><br><b>Author: </b>Steve Lipp; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>Nice, cosmopolitan place with local and international brews and drinks. Didn't try burgers but they look delicious. Crew is very hospitable. Would recommend.<br><br><b>Author: </b>Matt Smith; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>Hope the staff and bartender Luana are doing well....great bar!!!<br><br>",,CLUB
8,41.9079743,12.465208,3,599,Via Cola di Riezo,"<b>521</b><br>The path intersected the Margherita Bridge, Via Cola di Riezo, and passed through Piazza del Risorgimento, hitting no churches at all until it dead-ended abruptly at the center of St",521.0,LIB
9,41.8991633,12.4730742,4,1176,Piazza Navona,"<b>742</b><br> 
Dead center of Piazza Navona, outside the church of St",742.0,LIB
